"Data_group"	"Study"	"OTUs"	"Characters"	"Binary"	"Multistate"	"Total_States"	"Autapomorphic"	"Autapomorphic_Binary"	"Autapomorphic_Multistate"	"Autapomorphic_Multistate_States"	"Prop_Missing"	"Polymorphics"	"Polymorphic_Characters"	"Identicals"	"Reducibles"
"Crustaceans"	"Astacidae_Rode_&_Babcock_2003.nex"	"47"	"31"	"13"	"18"	"87"	"9"	"1"	"8"	"9"	"0.029512697323267"	"15"	"7"	"0"	"0"
"Crustaceans"	"Astacidea_Amati_et_al_2004.nex"	"31"	"21"	"10"	"11"	"61"	"3"	"0"	"3"	"5"	"0.0291858678955453"	"0"	"0"	"3"	"3"
"Crustaceans"	"Beyrichiocopa_Tinn_&_Meidla_2004.nex"	"35"	"44"	"35"	"9"	"97"	"13"	"9"	"4"	"4"	"0.012987012987013"	"0"	"0"	"1"	"1"
"Crustaceans"	"Eumalacostraca_Clark_et_al_2016.nex"	"17"	"43"	"32"	"11"	"100"	"11"	"4"	"7"	"9"	"0.114911080711354"	"0"	"0"	"1"	"1"
"Crustaceans"	"Gomphocytheres_Parks_et_al_2002.nex"	"19"	"44"	"33"	"11"	"99"	"11"	"4"	"7"	"9"	"0.0382775119617225"	"0"	"0"	"0"	"0"
"Crustaceans"	"Phyllocarida_Stigall-Rode_&_Lieberman_2002.nex"	"43"	"54"	"25"	"29"	"139"	"6"	"0"	"6"	"6"	"0.10077519379845"	"21"	"12"	"1"	"1"
"Crustaceans"	"Poseidonamicus_Hunt_2007.nex"	"40"	"42"	"36"	"6"	"92"	"9"	"5"	"4"	"7"	"0.0672619047619048"	"51"	"16"	"6"	"5"
"Crustaceans"	"Thylacocephala_Schram_et_al_1999.nex"	"18"	"15"	"4"	"11"	"51"	"8"	"0"	"8"	"8"	"0.0333333333333333"	"1"	"1"	"0"	"0"
"Crustaceans"	"Xanthoidea_Karasaw_&_Schweitzer_2006.nex"	"45"	"71"	"68"	"3"	"145"	"2"	"2"	"0"	"0"	"0.0219092331768388"	"22"	"17"	"1"	"1"
