taxon	min	max
Dunveganoceras	4.2	4.2
Calycoceras	9.1	9.1
Spathites	2.1	2.1
Mammites	2.5	2.5
Vascoceras	4.2	4.2
Fagesia	3.05	3.05
Neoptychites	2.5	2.5
Cibolaites	2.5	2.5
Infabricaticeras	2.1	2.1
Hoplitoides	2.5	2.5
Coilopoceras	2.5	2.5
