taxon	min	max
Dunveganoceras	5.15	6.85
Calycoceras	5.15	11.75
Spathites	2.65	4.75
Mammites	2.65	5.15
Vascoceras	4.25	6.85
Fagesia	2.65	5.7
Neoptychites	2.65	5.15
Cibolaites	4.25	5.15
Infabricaticeras	4.25	4.75
Hoplitoides	2.65	5.15
Coilopoceras	1.05	5.15
